Team,AT,HT,Score,Date Range,Home Away,League,Season,Date,GS,GA,Pts,xG,xGA,Net xG,xG Pts,Lower xG,Upper xG,Pts vs xG,Pts vs xG +ve,Pts vs xG -ve
Arsenal,Arsenal,Man United,1-0,TRUE,Away,English Premier League,2020/21,11/01/2020,1,0,3,1.1,0.4,0.7,3,-0.36,0.42,0,0,
Arsenal,Arsenal,Man City,0-1,TRUE,Away,English Premier League,2020/21,10/17/2020,0,1,0,0.8,1.6,-0.8,0,-0.36,0.42,0,0,
Arsenal,Arsenal,Liverpool,01-Mar,TRUE,Away,English Premier League,2020/21,9/28/2020,1,3,0,1.5,2.9,-1.4,0,-0.36,0.42,0,0,
Arsenal,Arsenal,Fulham,3-0,TRUE,Away,English Premier League,2020/21,09/12/2020,3,0,3,3,0.1,2.9,3,-0.36,0.42,0,0,
Arsenal,Arsenal,Aston Villa,0-1,TRUE,Away,English Premier League,2019/20,7/21/2020,0,1,0,0.9,0.5,0.4,1,-0.36,0.42,1,1,
Arsenal,Arsenal,Sheffield United,0-1,TRUE,Away,English Premier League,2019/20,10/21/2019,0,1,0,1.1,0.8,0.3,1,-0.36,0.42,1,1,
Arsenal,Arsenal,Leicester,0-2,TRUE,Away,English Premier League,2019/20,11/09/2019,0,2,0,1.4,1.5,-0.1,1,-0.36,0.42,1,1,
Arsenal,Arsenal,Man City,0-3,TRUE,Away,English Premier League,2019/20,6/17/2020,0,3,0,0.7,2.9,-2.3,0,-0.36,0.42,0,0,
Arsenal,Arsenal,Brighton,01-Feb,TRUE,Away,English Premier League,2019/20,6/20/2020,1,2,0,0.8,0.7,0.1,1,-0.36,0.42,1,1,
Arsenal,Arsenal,Tottenham,01-Feb,TRUE,Away,English Premier League,2019/20,07/12/2020,1,2,0,0.7,2.5,-1.8,0,-0.36,0.42,0,0,
Arsenal,Arsenal,Liverpool,01-Mar,TRUE,Away,English Premier League,2019/20,8/24/2019,1,3,0,0.8,3,-2.2,0,-0.36,0.42,0,0,
Arsenal,Arsenal,Burnley,0-0,TRUE,Away,English Premier League,2019/20,02/02/2020,0,0,1,1.9,2.5,-0.6,0,-0.36,0.42,-1,,-1
Arsenal,Arsenal,Everton,0-0,TRUE,Away,English Premier League,2019/20,12/21/2019,0,0,1,0.8,0.5,0.3,1,-0.36,0.42,0,0,
Arsenal,Arsenal,Bournemouth,01-Jan,TRUE,Away,English Premier League,2019/20,12/26/2019,1,1,1,1.7,1.5,0.3,1,-0.36,0.42,0,0,
Arsenal,Arsenal,Crystal Palace,01-Jan,TRUE,Away,English Premier League,2019/20,01/11/2020,1,1,1,1.2,0.4,0.8,3,-0.36,0.42,2,2,
Arsenal,Arsenal,Man United,01-Jan,TRUE,Away,English Premier League,2019/20,9/30/2019,1,1,1,1.8,1.1,0.8,3,-0.36,0.42,2,2,
Arsenal,Arsenal,Chelsea,02-Feb,TRUE,Away,English Premier League,2019/20,1/21/2020,2,2,1,0.5,3.2,-2.8,0,-0.36,0.42,-1,,-1
Arsenal,Arsenal,Norwich,02-Feb,TRUE,Away,English Premier League,2019/20,12/01/2019,2,2,1,2.2,0.9,1.3,3,-0.36,0.42,2,2,
Arsenal,Arsenal,Watford,02-Feb,TRUE,Away,English Premier League,2019/20,9/15/2019,2,2,1,0.9,3,-2.2,0,-0.36,0.42,-1,,-1
Arsenal,Arsenal,Newcastle,1-0,TRUE,Away,English Premier League,2019/20,08/11/2019,1,0,3,0.9,0.4,0.5,3,-0.36,0.42,0,0,
Arsenal,Arsenal,Southampton,2-0,TRUE,Away,English Premier League,2019/20,6/25/2020,2,0,3,2.2,0.8,1.4,3,-0.36,0.42,0,0,
Arsenal,Arsenal,Wolves,2-0,TRUE,Away,English Premier League,2019/20,07/04/2020,2,0,3,1.5,1,0.5,3,-0.36,0.42,0,0,
Arsenal,Arsenal,West Ham,03-Jan,TRUE,Away,English Premier League,2019/20,12/09/2019,3,1,3,1.8,0.6,1.1,3,-0.36,0.42,0,0,
Arsenal,Leicester,Arsenal,0-1,TRUE,Home,English Premier League,2020/21,10/25/2020,0,1,0,1,0.8,0.2,1,-0.36,0.42,1,1,
Arsenal,Man City,Arsenal,0-3,TRUE,Home,English Premier League,2019/20,12/15/2019,0,3,0,0.3,1.7,-1.4,0,-0.36,0.42,0,0,
Arsenal,Brighton,Arsenal,01-Feb,TRUE,Home,English Premier League,2019/20,12/05/2019,1,2,0,1,1.6,-0.6,0,-0.36,0.42,0,0,
Arsenal,Chelsea,Arsenal,01-Feb,TRUE,Home,English Premier League,2019/20,12/29/2019,1,2,0,0.9,1.7,-0.8,0,-0.36,0.42,0,0,
Arsenal,Leicester,Arsenal,01-Jan,TRUE,Home,English Premier League,2019/20,07/07/2020,1,1,1,1.3,1.3,0.1,1,-0.36,0.42,0,0,
Arsenal,Sheffield United,Arsenal,01-Jan,TRUE,Home,English Premier League,2019/20,1/18/2020,1,1,1,1.1,1.1,0,1,-0.36,0.42,0,0,
Arsenal,Wolves,Arsenal,01-Jan,TRUE,Home,English Premier League,2019/20,11/02/2019,1,1,1,1.1,1.5,-0.5,0,-0.36,0.42,-1,,-1
Arsenal,Crystal Palace,Arsenal,02-Feb,TRUE,Home,English Premier League,2019/20,10/27/2019,2,2,1,1.5,2,-0.5,0,-0.36,0.42,-1,,-1
Arsenal,Southampton,Arsenal,02-Feb,TRUE,Home,English Premier League,2019/20,11/23/2019,2,2,1,2.1,3,-0.9,0,-0.36,0.42,-1,,-1
Arsenal,Tottenham,Arsenal,02-Feb,TRUE,Home,English Premier League,2019/20,09/01/2019,2,2,1,2.4,2.1,0.3,1,-0.36,0.42,0,0,
Arsenal,Bournemouth,Arsenal,1-0,TRUE,Home,English Premier League,2019/20,10/06/2019,1,0,3,1.2,0.7,0.5,3,-0.36,0.42,0,0,
Arsenal,West Ham,Arsenal,1-0,TRUE,Home,English Premier League,2019/20,03/07/2020,1,0,3,1.7,1.6,0.2,1,-0.36,0.42,-2,,-2
Arsenal,Man United,Arsenal,2-0,TRUE,Home,English Premier League,2019/20,01/01/2020,2,0,3,1.5,0.8,0.7,3,-0.36,0.42,0,0,
Arsenal,Burnley,Arsenal,02-Jan,TRUE,Home,English Premier League,2019/20,8/17/2019,2,1,3,1.3,1.3,-0.1,1,-0.36,0.42,-2,,-2
Arsenal,Liverpool,Arsenal,02-Jan,TRUE,Home,English Premier League,2019/20,7/15/2020,2,1,3,1.2,3.1,-1.9,0,-0.36,0.42,-3,,-3
Arsenal,Sheffield United,Arsenal,02-Jan,TRUE,Home,English Premier League,2020/21,10/04/2020,2,1,3,0.6,0.2,0.4,1,-0.36,0.42,-2,,-2
Arsenal,West Ham,Arsenal,02-Jan,TRUE,Home,English Premier League,2020/21,9/19/2020,2,1,3,1.3,2.2,-0.8,0,-0.36,0.42,-3,,-3
Arsenal,Aston Villa,Arsenal,03-Feb,TRUE,Home,English Premier League,2019/20,9/22/2019,3,2,3,2.3,1.8,0.5,3,-0.36,0.42,0,0,
Arsenal,Everton,Arsenal,03-Feb,TRUE,Home,English Premier League,2019/20,2/23/2020,3,2,3,1.3,2.1,-0.8,0,-0.36,0.42,-3,,-3
Arsenal,Watford,Arsenal,03-Feb,TRUE,Home,English Premier League,2019/20,7/26/2020,3,2,3,2.1,4.1,-2.1,0,-0.36,0.42,-3,,-3
Arsenal,Newcastle,Arsenal,4-0,TRUE,Home,English Premier League,2019/20,2/16/2020,4,0,3,2.9,1,1.9,3,-0.36,0.42,0,0,
Arsenal,Norwich,Arsenal,4-0,TRUE,Home,English Premier League,2019/20,07/01/2020,4,0,3,1.7,0.2,1.5,3,-0.36,0.42,0,0,
Aston Villa,Aston Villa,Leicester,1-0,TRUE,Away,English Premier League,2020/21,10/18/2020,1,0,3,1,0.6,0.3,1,-0.36,0.42,-2,,-2
Aston Villa,Aston Villa,Fulham,3-0,TRUE,Away,English Premier League,2020/21,9/28/2020,3,0,3,2,0.6,1.4,3,-0.36,0.42,0,0,
Aston Villa,Aston Villa,Crystal Palace,0-1,TRUE,Away,English Premier League,2019/20,8/31/2019,0,1,0,0.4,1.6,-1.2,0,-0.36,0.42,0,0,
Aston Villa,Aston Villa,Liverpool,0-2,TRUE,Away,English Premier League,2019/20,07/05/2020,0,2,0,0.6,1.3,-0.7,0,-0.36,0.42,0,0,
Aston Villa,Aston Villa,Sheffield United,0-2,TRUE,Away,English Premier League,2019/20,12/14/2019,0,2,0,1.1,2,-0.9,0,-0.36,0.42,0,0,
Aston Villa,Aston Villa,Southampton,0-2,TRUE,Away,English Premier League,2019/20,2/22/2020,0,2,0,0.3,2.6,-2.3,0,-0.36,0.42,0,0,
